Date,Time,NO2_BR,Lat_BR,Lon_BR,NO2_DG,Lat_DG,Lon_DG,NO2_T,Lat_T,Lon_T
2023-01-06,01:00:00,10.52562,53.40495,-1.455815,4.70542,53.378622,-1.478096,No data,53.41058,-1.396139
2023-01-06,02:00:00,3.1329,53.40495,-1.455815,6.64325,53.378622,-1.478096,No data,53.41058,-1.396139
2023-01-06,03:00:00,2.59972,53.40495,-1.455815,4.41315,53.378622,-1.478096,No data,53.41058,-1.396139
2023-01-06,04:00:00,1.49909,53.40495,-1.455815,2.75012,53.378622,-1.478096,5.19451,53.41058,-1.396139
2023-01-06,05:00:00,3.8492,53.40495,-1.455815,2.43788,53.378622,-1.478096,7.6203,53.41058,-1.396139
2023-01-06,06:00:00,8.80493,53.40495,-1.455815,3.06045,53.378622,-1.478096,17.51806,53.41058,-1.396139
2023-01-06,07:00:00,15.35132,53.40495,-1.455815,5.39574,53.378622,-1.478096,31.82253,53.41058,-1.396139
2023-01-06,08:00:00,31.47632,53.40495,-1.455815,16.8154,53.378622,-1.478096,38.91508,53.41058,-1.396139
2023-01-06,09:00:00,51.81032,53.40495,-1.455815,29.16297,53.378622,-1.478096,39.85506,53.41058,-1.396139
2023-01-06,10:00:00,43.56015,53.40495,-1.455815,16.66056,53.378622,-1.478096,33.76451,53.41058,-1.396139
2023-01-06,11:00:00,25.48195,53.40495,-1.455815,12.40647,53.378622,-1.478096,24.65647,53.41058,-1.396139
2023-01-06,12:00:00,33.0962,53.40495,-1.455815,10.90097,53.378622,-1.478096,27.48052,53.41058,-1.396139
2023-01-06,13:00:00,35.45534,53.40495,-1.455815,13.2903,53.378622,-1.478096,30.79763,53.41058,-1.396139
2023-01-06,14:00:00,30.8258,53.40495,-1.455815,17.49329,53.378622,-1.478096,27.28377,53.41058,-1.396139
2023-01-06,15:00:00,37.64392,53.40495,-1.455815,20.19154,53.378622,-1.478096,31.24033,53.41058,-1.396139
