0,1,2,3
6.0,140.0,1113.0,2191.0
6.0,143.0,2435.0,2563.0
6.0,144.0,3390.0,542.0
6.0,145.0,879.0,1716.0
6.0,152.0,3131.0,2178.0
6.0,156.0,1113.0,828.0
6.0,163.0,3878.0,345.0
6.0,166.0,2735.0,2203.0
6.0,171.0,3878.0,1543.0
6.0,173.0,3962.0,3976.0
6.0,178.0,922.0,2527.0
6.0,191.0,1810.0,137.0
6.0,192.0,2620.0,2288.0
6.0,193.0,1104.0,1944.0
6.0,194.0,889.0,1415.0
6.0,196.0,1102.0,3288.0
6.0,197.0,2620.0,399.0
6.0,198.0,3142.0,826.0
6.0,199.0,2620.0,1409.0
6.0,200.0,914.0,3872.0
6.0,201.0,3944.0,1389.0
6.0,205.0,1809.0,3014.0
6.0,214.0,3712.0,928.0
6.0,215.0,1812.0,149.0
6.0,216.0,1811.0,1606.0
6.0,223.0,1108.0,1215.0
6.0,224.0,1813.0,867.0
6.0,225.0,2774.0,84.0
6.0,228.0,923.0,1246.0
6.0,229.0,3645.0,2933.0
6.0,230.0,3408.0,1728.0
6.0,231.0,3503.0,3125.0
6.0,232.0,2124.0,1374.0
6.0,234.0,3503.0,80.0
6.0,235.0,2728.0,564.0
6.0,236.0,1811.0,659.0
6.0,240.0,1217.0,3811.0
6.0,241.0,2589.0,2559.0
6.0,243.0,3201.0,3432.0
6.0,244.0,1104.0,3025.0
6.0,248.0,883.0,2036.0
6.0,249.0,1105.0,1069.0
6.0,250.0,2435.0,1264.0
6.0,253.0,2620.0,2126.0
6.0,255.0,1813.0,1648.0
6.0,258.0,881.0,2129.0
6.0,261.0,2620.0,1434.0
6.0,263.0,3195.0,824.0
6.0,266.0,1111.0,2875.0
6.0,270.0,1006.0,2906.0
6.0,275.0,287.0,989.0
6.0,280.0,912.0,2419.0
6.0,282.0,1106.0,841.0
6.0,285.0,3196.0,1387.0
6.0,291.0,2711.0,942.0
6.0,292.0,880.0,63.0
6.0,297.0,2727.0,1210.0
6.0,303.0,1115.0,1403.0
6.0,308.0,882.0,542.0
6.0,309.0,1103.0,1379.0
6.0,316.0,3042.0,1867.0
6.0,317.0,3199.0,136.0
6.0,322.0,3197.0,3192.0
6.0,326.0,2130.0,3556.0
6.0,329.0,1006.0,424.0
6.0,330.0,1812.0,1094.0
6.0,333.0,3962.0,256.0
6.0,335.0,1113.0,341.0
7.0,2.0,973.0,3143.0
7.0,4.0,3141.0,893.0
7.0,5.0,3140.0,54.0
7.0,6.0,3210.0,3408.0
7.0,7.0,1121.0,1315.0
7.0,8.0,3111.0,575.0
7.0,10.0,973.0,1098.0
7.0,11.0,3494.0,333.0
7.0,12.0,3302.0,635.0
7.0,13.0,3250.0,2946.0
7.0,14.0,3174.0,2887.0
7.0,15.0,3268.0,712.0
7.0,16.0,3702.0,3240.0
7.0,18.0,3211.0,3289.0
7.0,21.0,870.0,890.0
7.0,22.0,2572.0,3363.0
7.0,23.0,3493.0,307.0
7.0,24.0,799.0,364.0
7.0,25.0,217.0,1492.0
7.0,26.0,3932.0,3470.0
7.0,27.0,3211.0,683.0
7.0,28.0,3210.0,3015.0
7.0,29.0,2575.0,2384.0
7.0,30.0,2574.0,3966.0
7.0,31.0,1122.0,3820.0
7.0,32.0,2897.0,1824.0
7.0,33.0,1126.0,1650.0
7.0,34.0,3215.0,2105.0
7.0,37.0,3215.0,402.0
7.0,38.0,1129.0,2210.0
7.0,41.0,3210.0,2287.0
7.0,42.0,3703.0,919.0
7.0,43.0,3218.0,686.0
7.0,44.0,3215.0,2534.0
7.0,45.0,3304.0,2459.0
7.0,46.0,392.0,1515.0
7.0,47.0,445.0,3596.0
7.0,48.0,3782.0,803.0
7.0,49.0,392.0,177.0
7.0,50.0,3681.0,381.0
7.0,52.0,3493.0,1841.0
7.0,53.0,1119.0,851.0
7.0,54.0,3589.0,2550.0
7.0,55.0,980.0,690.0
7.0,56.0,870.0,1026.0
7.0,58.0,3174.0,1380.0
7.0,61.0,1121.0,1325.0
7.0,62.0,2776.0,3296.0
7.0,64.0,3141.0,2826.0
7.0,65.0,3212.0,1445.0
7.0,66.0,870.0,3394.0
7.0,67.0,3268.0,375.0
7.0,68.0,973.0,346.0
7.0,70.0,3304.0,146.0
7.0,72.0,799.0,28.0
7.0,73.0,1130.0,333.0
7.0,74.0,2776.0,45.0
7.0,78.0,196.0,86.0
7.0,79.0,3311.0,2240.0
7.0,81.0,3702.0,1531.0
7.0,82.0,3251.0,1978.0
7.0,86.0,3111.0,1559.0
7.0,87.0,3494.0,3067.0
7.0,88.0,1122.0,688.0
7.0,89.0,3210.0,3903.0
7.0,91.0,1129.0,3283.0
7.0,94.0,3174.0,648.0
7.0,95.0,3212.0,3405.0
7.0,96.0,3212.0,2197.0
7.0,98.0,3186.0,1419.0
7.0,103.0,1127.0,2468.0
7.0,104.0,793.0,1448.0
7.0,106.0,1127.0,3396.0
7.0,107.0,793.0,3109.0
7.0,111.0,3589.0,1471.0
7.0,114.0,3268.0,1414.0
