osmid,osmid_original,y,x,street_count,LSOA,LSOA_Lon,LSOA_Lat,PWC_Distance,NodeID,lon,lat,osmid_Old,NodeID_New,ref,highway,geometry
166,"[26935292, 1119478473, 1119478262, 26935270, 26935285, 1817631866, 26935627, 1817632154, 1119478410, 1817632160]",53.37444072452476,-1.4072481409419153,0,E01007910,-1.3992525935123685,53.373735315895516,0.008026604514509497,166,,,170,166,,,POINT (-1.4072481409419153 53.37444072452476)
167,1735804892,53.3745691,-1.4115323000000002,3,E01008017,-1.4145242346134825,53.37224730686643,0.0037871356044471643,167,-1.4115323,53.3745691,171,167,,,POINT (-1.4115323000000002 53.3745691)
168,1735805001,53.3771259,-1.4204427999999993,3,E01008017,-1.4145242346134825,53.37224730686643,0.007670077391881723,168,-1.4204428,53.3771259,172,168,,,POINT (-1.4204427999999993 53.3771259)
169,25316753,53.37813460000001,-1.4236013,3,E01008018,-1.4250497531697874,53.374042237030196,0.00434113478962763,169,-1.4236013,53.3781346,173,169,,motorway_junction,POINT (-1.4236013 53.37813460000001)
170,322852181,53.3784327,-1.4268961999999996,3,E01008015,-1.4315247063476009,53.37512591919666,0.005688397866806325,170,-1.4268962,53.3784327,174,170,,,POINT (-1.4268961999999996 53.3784327)
171,"[1735805036, 25316756]",53.38005315046898,-1.4297066491482766,0,E01008015,-1.4315247063476009,53.37512591919666,0.00525194630503139,171,,,175,171,,,POINT (-1.4297066491482766 53.38005315046898)
172,"[322852172, 322852206, 145426132, 145426089, 145426090, 145426096, 145426117, 145426091, 7837070678, 7837070638, 7837070628, 322852322, 322852324, 322852326, 7837070655]",53.381083653699456,-1.4257550150581868,0,E01007883,-1.4243845008415745,53.388143397359755,0.007191542933687818,172,,,176,172,,,POINT (-1.4257550150581868 53.381083653699456)
173,"[705241860, 26872539, 705241538, 705241522, 705241537]",53.38198738708857,-1.4362515742804092,0,E01008015,-1.4315247063476009,53.37512591919666,0.00833204789267978,173,,,177,173,,,POINT (-1.4362515742804092 53.38198738708857)
174,7836998484,53.3845746,-1.4390352000000006,3,E01008015,-1.4315247063476009,53.37512591919666,0.01207000761499743,174,-1.4390352,53.3845746,178,174,,motorway_junction,POINT (-1.4390352000000006 53.3845746)
175,726647489,53.3845498,-1.4458944000000007,3,E01007885,-1.4493077464362458,53.38221986304513,0.0041327400241863614,175,-1.4458944,53.3845498,179,175,,,POINT (-1.4458944000000007 53.3845498)
176,26784577,53.367454299999984,-1.499197900000001,2,E01008047,-1.4961792746758118,53.366896432415984,0.003069741860340033,176,-1.4991979,53.3674543,180,176,,,POINT (-1.499197900000001 53.367454299999984)
177,"[25316869, 5018804558, 1791422595, 1791423646, 1111087924, 140867013, 140893523, 140893530, 221931391, 221931608, 221931261, 221931490, 221931503, 221879262, 221879241, 221879248, 1756350508, 252952930, 1756350503, 1111088015, 1111087911, 221931593, 221931036, 1843680160, 221931141, 221931208, 1791424155, 3266151735, 1791423870, 1791422252, 768584794, 1111087806, 1791422855, 11253982530, 3400859163, 1514369855, 1791424211, 1734303180, 1756350495, 1791469198, 1791422591]",53.38628245043425,-1.4563570550345923,0,E01033268,-1.4564502019095455,53.38256014529266,0.003723470411786206,177,,,181,177,,,POINT (-1.4563570550345923 53.38628245043425)
178,25316890,53.38022999999999,-1.4298869999999997,3,E01008015,-1.4315247063476009,53.37512591919666,0.005360384587689994,178,-1.429887,53.38023,182,178,,motorway_junction,POINT (-1.4298869999999997 53.38022999999999)
179,322852193,53.378202000000016,-1.4233424,3,E01008016,-1.4189194785115453,53.37885457893558,0.00447080459874896,179,-1.4233424,53.378202,183,179,,,POINT (-1.4233424 53.378202000000016)
180,25316895,53.377102099999995,-1.4198527000000007,3,E01008016,-1.4189194785115453,53.37885457893558,0.001985468399688508,180,-1.4198527,53.3771021,184,180,,motorway_junction,POINT (-1.4198527000000007 53.377102099999995)
181,"[26892959, 26892960, 26892954, 26892955, 26892962, 1117478127, 26892966, 26892967]",53.37545280489363,-1.4150441716784798,0,E01008017,-1.4145242346134825,53.37224730686643,0.003247391592330243,181,,,185,181,,,POINT (-1.4150441716784798 53.37545280489363)
182,1232530542,53.374675499999995,-1.4113576000000003,3,E01008017,-1.4145242346134825,53.37224730686643,0.003990450684978559,182,-1.4113576,53.3746755,186,182,,motorway_junction,POINT (-1.4113576000000003 53.374675499999995)
183,25316903,53.3752351,-1.4026988,3,E01007910,-1.3992525935123685,53.373735315895516,0.0037584160913141876,183,-1.4026988,53.3752351,187,183,,,POINT (-1.4026988 53.3752351)
184,1319951567,53.37601620000001,-1.4003352000000004,3,E01007910,-1.3992525935123685,53.373735315895516,0.002524771099557393,184,-1.4003352,53.3760162,188,184,,motorway_junction,POINT (-1.4003352000000004 53.37601620000001)
185,"[27005479, 1321497668, 1321497622, 27005488, 27005490, 27005491, 669130820, 669130829]",53.37807719857677,-1.3963408075238524,0,E01007910,-1.3992525935123685,53.373735315895516,0.005227852605102885,185,,,190,185,,,POINT (-1.3963408075238524 53.37807719857677)
186,"[25340398, 708117740, 26556610, 1708810262, 8150007859, 26556607]",53.48931411934454,-1.6166545707587332,0,E01008149,-1.6134665305033111,53.48524880474209,0.005166273655845368,186,,,191,186,,,POINT (-1.6166545707587332 53.48931411934454)
187,25340399,53.48674929999999,-1.6134991,3,E01008149,-1.6134665305033111,53.48524880474209,0.0015008486902808882,187,-1.6134991,53.4867493,192,187,,,POINT (-1.6134991 53.48674929999999)
188,2862332034,53.4884199,-1.619225,3,E01008149,-1.6134665305033111,53.48524880474209,0.006573873749852592,188,-1.619225,53.4884199,193,188,,,POINT (-1.619225 53.4884199)
189,1708344133,53.4838889,-1.5998874,3,E01008144,-1.5921036556059867,53.480551700185764,0.008468977470241085,189,-1.5998874,53.4838889,194,189,,,POINT (-1.5998874 53.4838889)
190,"[1286137540, 246931075, 1286137635]",53.485227272580666,-1.6257352121604356,0,E01008149,-1.6134665305033111,53.48524880474209,0.012268700552130129,190,,,195,190,,,POINT (-1.6257352121604356 53.485227272580666)
191,"[2873511807, 2873511818]",53.48289320018487,-1.596830051934331,0,E01008144,-1.5921036556059867,53.480551700185764,0.005274603729039229,191,,,196,191,,,POINT (-1.596830051934331 53.48289320018487)
192,25340413,53.478905499999996,-1.5735256000000009,3,E01008143,-1.5731865031074546,53.477596397664385,0.0013523075196326447,192,-1.5735256,53.4789055,197,192,,,POINT (-1.5735256000000009 53.478905499999996)
193,"[25340415, 25920161]",53.47769580074217,-1.567000499846556,0,E01008143,-1.5731865031074546,53.477596397664385,0.006186801864915283,193,,,198,193,,,POINT (-1.567000499846556 53.47769580074217)
194,25920163,53.4811074,-1.5855781000000013,3,E01008144,-1.5921036556059867,53.480551700185764,0.00654917386014184,194,-1.5855781,53.4811074,199,194,,,POINT (-1.5855781000000013 53.4811074)
