u,v,key,osmid,oneway,lanes_OSMNx,ref,highway,maxspeed,reversed,length,bridge,ID,ID_tuple,new_ID,count,speedlim,lanes,width,highway_key,class,road_class,capacity,congFactor,avgSpeed,criticalDensity,u_original,v_original,geometry,idx,u_Old,v_Old,key_Old,name,junction,access,width_OSMNx,suspicious_width,tunnel
10,208,0,"[113074690, 329042876]",True,"['2', '1']",A616,trunk,60 mph,False,376.016916761667,,"[113074690, 329042876]","(113074690, 329042876)",3725,1,96.5604,2.0,7.169747619047621,trunk,UAP1,1,1289.1888288734274,0.3,28.96812,44.50371059196895,1283417184,4265357537,"LINESTRING (-1.5721262000000003 53.4822447, -1.5768831000000005 53.48321939999999, -1.5774875631954257 53.48333739620336)","(14, 213, 0)",14,213,0,Stocksbridge Bypass,,,,,
201,9,0,"[162607687, 1193036072, 198659726, 624134045, 1046207262]",False,2,A6102,primary,"['30 mph', '60 mph']",False,358.6145758403222,,"[162607687, 1193036072, 198659726, 624134045, 1046207262]","(162607687, 1193036072, 198659726, 624134045, 1046207262)",426,2,96.5604,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,28.96812,36.06040572193207,25920153,1347645836,"LINESTRING (-1.5658439000000002 53.478891499999996, -1.5631314999999992 53.48101739999999, -1.5625543316309014 53.481448270061115)","(206, 13, 0)",206,13,0,Wortley Road,,,,,
201,193,0,"[162607688, 1046207261, 56252374]",False,"['1', '2']",A6102,primary,30 mph,True,171.19262956593286,yes,"[162607688, 1046207261, 56252374]","(162607688, 1046207261, 56252374)",427,2,48.2802,2.0,7.169747619047621,primary,UAP3,3,923.645803870954,0.3,14.48406,63.769813427378374,25920153,25920161,"LINESTRING (-1.5658439000000002 53.478891499999996, -1.5665791000000007 53.4776817, -1.567000499846556 53.47769580074217)","(206, 198, 0)",206,198,0,"['Vaughton Hill', 'Wortley Road']",,,,,
208,741,0,58628759,False,2,,tertiary,30 mph,False,707.8381734091305,,[58628759],"(58628759,)",2942,4,48.2802,2.0,5.283099999999999,tertiary,UAP4,4,641.9517534381737,0.3,14.48406,44.321257536779996,3358645887,1707818365,"LINESTRING (-1.5774875631954257 53.48333739620336, -1.577561900000001 53.4829543, -1.5875594999999996 53.48334579999999)","(213, 746, 0)",213,746,0,Fox Valley Way,,,,,
208,10,0,"[333862786, 329042869]",True,1,A616,trunk,60 mph,False,383.9631930121455,,"[333862786, 329042869]","(333862786, 329042869)",4435,1,96.5604,1.0,4.2376446269416865,trunk,UAP1,1,845.0901813929325,0.3,28.96812,29.173111040444894,4265357536,1283417184,"LINESTRING (-1.5774875631954257 53.48333739620336, -1.5768409000000012 53.48343389999999, -1.5721262000000003 53.4822447)","(213, 14, 0)",213,14,0,Stocksbridge Bypass,,,,,
11,12,0,"[425722273, 965944346, 119148341]",True,"['2', '3']",A61,trunk,30 mph,False,341.22957671248855,,"[425722273, 965944346, 119148341]","(425722273, 965944346, 119148341)",12,1,48.2802,3.0,9.244928571428574,trunk,UAP2,2,1274.204314754886,0.3,14.48406,87.97286912335947,21026828,2273087090,"LINESTRING (-1.4961650458532068 53.40459764136094, -1.4961091 53.404893999999985, -1.4970499 53.40741330000001, -1.4968037868222261 53.407529400426796)","(15, 16, 0)",15,16,0,Penistone Road,,,,,
11,14,0,"[965944374, 965944356, 965944373, 119148342]",True,"['2', '3']",A61,trunk,30 mph,False,293.31006007189677,yes,"[965944374, 965944356, 965944373, 119148342]","(965944374, 965944356, 965944373, 119148342)",25,1,48.2802,3.0,9.244928571428574,trunk,UAP2,2,1274.204314754886,0.3,14.48406,87.97286912335947,21026875,1759989656,"LINESTRING (-1.4961650458532068 53.40459764136094, -1.4949571999999998 53.40410729999999, -1.4932360000000005 53.40293199999999, -1.4933144239814116 53.40273576957355)","(15, 18, 0)",15,18,0,Penistone Road,,,,,
11,134,0,313501246,False,3,,primary,30 mph,True,421.8181991231859,,[313501246],"(313501246,)",1477,2,48.2802,3.0,9.244928571428574,primary,UAP3,3,1126.66191344125,0.3,14.48406,77.78633293712191,130915763,3194980803,"LINESTRING (-1.4961650458532068 53.40459764136094, -1.4984205999999995 53.40389699999999, -1.5009739999999996 53.402772799999994, -1.5015197450756 53.40258424939847)","(15, 138, 0)",15,138,0,Bradfield Road,,,,,
11,318,0,23184662,False,2,,unclassified,30 mph,False,305.82933853928466,,[23184662],"(23184662,)",721,4,48.2802,2.0,7.05026904761905,unclassified,UAP3,3,909.6974168927081,0.3,14.48406,62.8067970508758,26821734,250639337,"LINESTRING (-1.4961650458532068 53.40459764136094, -1.4941939999999998 53.4046791, -1.491779100000001 53.40529239999999)","(15, 323, 0)",15,323,0,Livesey Street,,,,,
12,13,0,"[965944347, 965944340, 965944341, 965944342]",True,"['4', '2', '3']",A61,trunk,30 mph,False,241.43237452423386,,"[965944347, 965944340, 965944341, 965944342]","(965944347, 965944340, 965944341, 965944342)",4273,1,48.2802,4.0,9.244928571428574,trunk,UAP2,2,1246.045296894819,0.3,14.48406,86.0287306801283,2273087090,1744738487,"LINESTRING (-1.4968037868222261 53.407529400426796, -1.4970499 53.40741330000001, -1.4975469999999997 53.4088995, -1.497772313807649 53.40934663342382)","(16, 17, 0)",16,17,0,Penistone Road,,,,,
