Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
11.86,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
11.91,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
14.015,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
13.43,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
15.58,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
11.82,15.269662197359818,5.15625,0.038727003136585836,125,2450,0.9316774232582992,0.0721875
15.065,15.269662197359818,5.166666666666667,0.038727003136585836,125,2450,0.9316774265379157,0.07233333333333333
15.305,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
10.68,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
9.28,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
35.825,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
15.855,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
12.545,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
12.87,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
11.420000000000002,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
12.27,15.270177360129516,5.25,0.03924216590628404,125,2450,0.9316774534978881,0.0735
14.025,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
11,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
15.64,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
14.16,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
11.895,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
12.21,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
10.67,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
16.55,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
13.93,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
12.335,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
10.26,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
13.4,15.270480100600954,5.375,0.039544906377722455,125,2450,0.9316774964162886,0.07525
13.345,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
11.895,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
11.47,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
13.495,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
14.35,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
16.32,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
14.875,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
