Density,NO2
9.02,0.12355951453031414
9.03,0.1236964984710351
9.040000000000001,0.12383348241175608
9.05,0.12397046635247705
9.06,0.12410745029319802
9.07,0.12424443423391898
9.08,0.12438141817463995
9.09,0.12451840211536092
9.1,0.12465538605608188
9.11,0.12479236999680285
9.120000000000001,0.12492935393752384
9.13,0.1250663378782448
9.14,0.12520332181896576
9.15,0.12534030575968674
9.16,0.1254772897004077
9.17,0.12561427364112868
9.18,0.12575125758184963
9.19,0.1258882415225706
9.200000000000001,0.1260252254632916
9.21,0.12616220940401257
9.22,0.12629919334473352
9.23,0.1264361772854545
9.24,0.12657316122617546
9.25,0.12671014516689644
9.26,0.1268471291076174
9.27,0.12698411304833837
9.28,0.12712109698905932
9.290000000000001,0.1272580809297803
9.3,0.12739506487050128
9.31,0.12753204881122224
9.32,0.12766903275194322
9.33,0.12780601669266417
9.34,0.12794300063338515
9.35,0.1280799845741061
9.36,0.12821696851482708
9.370000000000001,0.12835395245554806
9.38,0.12849093639626905
9.39,0.12862792033699
9.4,0.12876490427771098
9.41,0.12890188821843193
9.42,0.1290388721591529
9.43,0.12917585609987386
9.44,0.12931284004059485
9.450000000000001,0.12944982398131583
9.46,0.12958680792203678
9.47,0.12972379186275776
9.48,0.1298607758034787
9.49,0.1299977597441997
9.5,0.13013474368492065
9.51,0.13027172762564163
9.52,0.13040871156636258
9.53,0.13054569550708356
9.540000000000001,0.13068267944780454
9.55,0.13081966338852552
9.56,0.13095664732924647
9.57,0.13109363126996745
9.58,0.1312306152106884
9.59,0.1313675991514094
9.6,0.13150458309213034
9.61,0.13164156703285132
9.620000000000001,0.1317785509735723
9.63,0.13191553491429325
9.64,0.13205251885501423
9.65,0.1321895027957352
9.66,0.13232648673645617
9.67,0.13246347067717712
9.68,0.1326004546178981
9.69,0.13273743855861905
9.700000000000001,0.13287442249934006
9.71,0.13301140644006101
9.72,0.133148390380782
9.73,0.13328537432150295
9.74,0.13342235826222393
9.75,0.13355934220294488
9.76,0.13369632614366586
9.77,0.13383331008438681
9.78,0.13397029402510777
9.790000000000001,0.13410727796582878
9.8,0.13424426190654973
9.81,0.1343812458472707
9.82,0.13451822978799166
9.83,0.13465521372871264
9.84,0.1347921976694336
9.85,0.13492918161015457
9.86,0.13506616555087553
